date,startTime,endTime,filePath,frequency
2024/1/2,02:10:00,02:20:00,.git/objects/72/23a60db80d39ec851a3169feecde269d0d2a16,8
2024/1/2,02:10:00,02:20:00,.git/index,2
2024/1/2,02:10:00,02:20:00,.git/objects/da/33f2e1a612a69e3a9359d09bc0ce1b0df7ac9c,2
2024/1/2,02:10:00,02:20:00,.git/info/exclude,2
2024/1/2,02:10:00,02:20:00,/home/yash/be_proj_git/ai_driven_file_system/csv_data.csv,1
2024/1/2,02:20:00,02:30:00,/home/yash/be_proj_git/ai_driven_file_system/dataset_creation.py,4
2024/1/2,02:20:00,02:30:00,/home/yash/be_proj_git/ai_driven_file_system/.git/HEAD,4
2024/1/2,02:20:00,02:30:00,/home/yash/be_proj_git/ai_driven_file_system/.git/config,1
2024/1/2,02:20:00,02:30:00,.git/config,8
2024/1/2,02:20:00,02:30:00,.git/refs/heads/main,6
2024/1/2,02:20:00,02:30:00,.git/packed-refs,2
2024/1/2,02:20:00,02:30:00,.git/HEAD,4
2024/1/2,02:20:00,02:30:00,.git/refs/remotes/origin/main,2
2024/1/2,02:20:00,02:30:00,.git/objects/72/23a60db80d39ec851a3169feecde269d0d2a16,4
2024/1/2,02:20:00,02:30:00,.git/index,1
2024/1/2,02:20:00,02:30:00,.git/objects/da/33f2e1a612a69e3a9359d09bc0ce1b0df7ac9c,1
2024/1/2,02:20:00,02:30:00,.git/info/exclude,1
